#InputTextBtnSet,,,,,,,,,,,,,,,,,,,,,,,,
ButtonN,名称,PutText（150文字+1）,Start,ButtonType,AreaCtrlNo,Title（20文字+1）,DialImg,WaitingImg,CursorImg,PushedImg,Up,Down,Left,Right,Active,Location[0],Location[1],Padding[0],Padding[1],Padding[2],Padding[3],Width,Height,ButtonFormN
0,平方根,#sqrt(),1,2,2,,m_sqrt.png,back_blue.png,cursor_blue.png,pushed.png,30,6,5,1,2,0,0,0,0,0,0,0,0,1
1,括弧,#fenced(),1,2,2,,m_fenced.png,-2,-2,-2,31,7,0,2,1,-111111,-222222,0,0,0,0,0,0,1
2,分数,#f(;),1,2,2,,m_f.png,-2,-2,-2,32,8,1,3,1,-111111,-222222,0,0,0,0,0,0,1
3,上付き,#sup(;),1,2,2,,m_sup.png,-2,-2,-2,33,9,2,4,1,-111111,-222222,0,0,0,0,0,0,1
4,下付き,#sub(;),1,2,2,,m_sub.png,-2,-2,-2,34,10,3,5,1,-111111,-222222,0,0,0,0,0,0,1
5,カンマ,，,0,0,2,,m_comma.png,-2,-2,-2,35,11,4,0,1,-111111,-222222,0,0,0,0,0,0,1
6,パイ,π,0,0,2,,m2_greek_italic_low_pi.png,back_silver.png,cursor_silver.png,-2,0,12,11,7,1,0,-111111,0,0,0,0,0,0,1
7,プラスマイナス,±,0,2,2,,m_plusminus.png,-2,-2,-2,1,13,6,8,1,-111111,-222222,0,0,0,0,0,0,1
8,あまり, あまり ,0,2,2,,m_remainder.png,back_silver2.png,cursor_silver2.png,-2,2,14,7,9,1,-111111,-222222,0,0,0,0,0,0,1
9,わる,÷,0,2,2,,m_divide.png,back_green.png,cursor_green.png,-2,3,15,8,10,1,-111111,-222222,0,0,0,0,0,0,1
10,x,x,0,2,2,,m_italic_low_x.png,back_orange.png,cursor_orange.png,-2,4,16,9,11,1,-111111,-222222,0,0,0,0,0,0,1
11,ア,ア,0,0,2,,m_option_kana1.png,back_red.png,cursor_red.png,-2,5,17,10,6,1,-111111,-222222,0,0,0,0,0,0,1
12,7,7,0,2,2,,number7.png,back_number.png,cursor_number.png,-2,6,18,17,13,1,0,-111111,0,0,0,0,0,0,1
13,8,8,0,2,2,,number8.png,-2,-2,-2,7,19,12,14,1,-111111,-222222,0,0,0,0,0,0,1
14,9,9,0,2,2,,number9.png,-2,-2,-2,8,20,13,15,1,-111111,-222222,0,0,0,0,0,0,1
15,かける,×,0,2,2,,m_times.png,back_green.png,cursor_green.png,-2,9,21,14,16,1,-111111,-222222,0,0,0,0,0,0,1
16,y,y,0,2,2,,m_italic_low_y.png,back_orange.png,cursor_orange.png,-2,10,22,15,17,1,-111111,-222222,0,0,0,0,0,0,1
17,イ,イ,0,0,2,,m_option_kana2.png,back_red.png,cursor_red.png,-2,11,23,16,12,1,-111111,-222222,0,0,0,0,0,0,1
18,4,4,0,2,2,,number4.png,back_number.png,cursor_number.png,-2,12,24,23,19,1,0,-111111,0,0,0,0,0,0,1
19,5,5,0,2,2,,number5.png,-2,-2,-2,13,25,18,20,1,-111111,-222222,0,0,0,0,0,0,1
20,6,6,0,2,2,,number6.png,-2,-2,-2,14,26,19,21,1,-111111,-222222,0,0,0,0,0,0,1
21,マイナス,－,0,2,2,,m_minus.png,back_green.png,cursor_green.png,-2,15,27,20,22,1,-111111,-222222,0,0,0,0,0,0,1
22,z,z,0,2,2,,m_italic_low_z.png,back_orange.png,cursor_orange.png,-2,16,28,21,23,1,-111111,-222222,0,0,0,0,0,0,1
23,ウ,ウ,0,0,2,,m_option_kana3.png,back_red.png,cursor_red.png,-2,17,29,22,18,1,-111111,-222222,0,0,0,0,0,0,1
24,1,1,0,2,2,,number1.png,back_number.png,cursor_number.png,-2,18,30,29,25,1,0,-111111,0,0,0,0,0,0,1
25,2,2,0,2,2,,number2.png,-2,-2,-2,19,31,24,26,1,-111111,-222222,0,0,0,0,0,0,1
26,3,3,0,2,2,,number3.png,-2,-2,-2,20,32,25,27,1,-111111,-222222,0,0,0,0,0,0,1
27,プラス,＋,0,2,2,,m_plus.png,back_green.png,cursor_green.png,-2,21,33,26,28,1,-111111,-222222,0,0,0,0,0,0,1
28,a,a,0,2,2,,m_italic_low_a.png,back_orange.png,cursor_orange.png,-2,22,34,27,29,1,-111111,-222222,0,0,0,0,0,0,1
29,エ,エ,0,0,2,,m_option_kana4.png,back_red.png,cursor_red.png,-2,23,35,28,24,1,-111111,-222222,0,0,0,0,0,0,1
30,0,0,0,2,2,,number0.png,back_number.png,cursor_number.png,-2,24,0,35,31,1,0,-111111,0,0,0,0,0,0,1
31,小数点,.,0,2,2,,m_decimal_point.png,-2,-2,-2,25,1,30,32,1,-111111,-222222,0,0,0,0,0,0,1
32,ドット,･,1,2,2,,m_dot.png,-2,-2,-2,26,2,31,33,1,-111111,-222222,0,0,0,0,0,0,1
33,イコール,＝,0,2,2,,m_eqal.png,back_green.png,cursor_green.png,-2,27,3,32,34,1,-111111,-222222,0,0,0,0,0,0,1
34,b,b,0,2,2,,m_italic_low_b.png,back_orange.png,cursor_orange.png,-2,28,4,33,35,1,-111111,-222222,0,0,0,0,0,0,1
35,確定,,0,0,2,,m_decide.png,back_kakutei.png,cursor_kakutei.png,-2,29,5,34,30,1,-111111,-222222,0,0,0,0,0,0,2
